id,name,priceUsd,date_time,key_id_date_time
bitcoin,Bitcoin,60568.3333830122,2024-09-18 23:19:23,bitcoin|2024-09-18 23:19:23
ethereum,Ethereum,2338.707649986598,2024-09-18 23:19:23,ethereum|2024-09-18 23:19:23
tether,Tether,1.0002156383567602,2024-09-18 23:19:23,tether|2024-09-18 23:19:23
binance-coin,BNB,551.4532477409361,2024-09-18 23:19:23,binance-coin|2024-09-18 23:19:23
solana,Solana,131.38529939635407,2024-09-18 23:19:23,solana|2024-09-18 23:19:23
usd-coin,USDC,1.0001277717821997,2024-09-18 23:19:23,usd-coin|2024-09-18 23:19:23
xrp,XRP,0.5801894706282901,2024-09-18 23:19:23,xrp|2024-09-18 23:19:23
steth,Lido Staked ETH,2335.9232796936176,2024-09-18 23:19:23,steth|2024-09-18 23:19:23
dogecoin,Dogecoin,0.1022621124956315,2024-09-18 23:19:23,dogecoin|2024-09-18 23:19:23
tron,TRON,0.1494143110912463,2024-09-18 23:19:23,tron|2024-09-18 23:19:23
cardano,Cardano,0.3378069571157764,2024-09-18 23:19:23,cardano|2024-09-18 23:19:23
avalanche,Avalanche,23.95117600345156,2024-09-18 23:19:23,avalanche|2024-09-18 23:19:23
wrapped-bitcoin,Wrapped Bitcoin,60501.99359329842,2024-09-18 23:19:23,wrapped-bitcoin|2024-09-18 23:19:23
shiba-inu,Shiba Inu,1.34713874962e-05,2024-09-18 23:19:23,shiba-inu|2024-09-18 23:19:23
chainlink,Chainlink,10.69359736185225,2024-09-18 23:19:23,chainlink|2024-09-18 23:19:23
bitcoin-cash,Bitcoin Cash,315.08077893801294,2024-09-18 23:19:23,bitcoin-cash|2024-09-18 23:19:23
polkadot,Polkadot,4.112723306635276,2024-09-18 23:19:23,polkadot|2024-09-18 23:19:23
multi-collateral-dai,Multi Collateral DAI,1.0007650986240908,2024-09-18 23:19:23,multi-collateral-dai|2024-09-18 23:19:23
unus-sed-leo,UNUS SED LEO,5.634823685379208,2024-09-18 23:19:23,unus-sed-leo|2024-09-18 23:19:23
litecoin,Litecoin,64.29853518254971,2024-09-18 23:19:23,litecoin|2024-09-18 23:19:23
