id,name,priceUsd,date_time,key_id_date_time
bitcoin,Bitcoin,62352.90945379482,2024-09-19 00:54:16,bitcoin|2024-09-19 00:54:16
ethereum,Ethereum,2396.6870436056283,2024-09-19 00:54:16,ethereum|2024-09-19 00:54:16
tether,Tether,1.0005585266291335,2024-09-19 00:54:16,tether|2024-09-19 00:54:16
binance-coin,BNB,560.8951864591332,2024-09-19 00:54:16,binance-coin|2024-09-19 00:54:16
solana,Solana,135.2052532996626,2024-09-19 00:54:16,solana|2024-09-19 00:54:16
usd-coin,USDC,1.000295910555285,2024-09-19 00:54:16,usd-coin|2024-09-19 00:54:16
xrp,XRP,0.5879546073440539,2024-09-19 00:54:16,xrp|2024-09-19 00:54:16
steth,Lido Staked ETH,2389.95846674518,2024-09-19 00:54:16,steth|2024-09-19 00:54:16
dogecoin,Dogecoin,0.1050221568471333,2024-09-19 00:54:16,dogecoin|2024-09-19 00:54:16
tron,TRON,0.1497495175621746,2024-09-19 00:54:16,tron|2024-09-19 00:54:16
cardano,Cardano,0.3488670597201769,2024-09-19 00:54:16,cardano|2024-09-19 00:54:16
avalanche,Avalanche,25.743127163407888,2024-09-19 00:54:16,avalanche|2024-09-19 00:54:16
wrapped-bitcoin,Wrapped Bitcoin,62273.765178843154,2024-09-19 00:54:16,wrapped-bitcoin|2024-09-19 00:54:16
shiba-inu,Shiba Inu,1.38533319402e-05,2024-09-19 00:54:16,shiba-inu|2024-09-19 00:54:16
bitcoin-cash,Bitcoin Cash,339.3814014235308,2024-09-19 00:54:16,bitcoin-cash|2024-09-19 00:54:16
chainlink,Chainlink,11.021653582557706,2024-09-19 00:54:16,chainlink|2024-09-19 00:54:16
polkadot,Polkadot,4.2330158855125495,2024-09-19 00:54:16,polkadot|2024-09-19 00:54:16
multi-collateral-dai,Multi Collateral DAI,1.0013405251473186,2024-09-19 00:54:16,multi-collateral-dai|2024-09-19 00:54:16
unus-sed-leo,UNUS SED LEO,5.724681054156502,2024-09-19 00:54:16,unus-sed-leo|2024-09-19 00:54:16
near-protocol,NEAR Protocol,4.487237905701079,2024-09-19 00:54:16,near-protocol|2024-09-19 00:54:16
litecoin,Litecoin,65.24579754137778,2024-09-19 00:54:16,litecoin|2024-09-19 00:54:16
uniswap,Uniswap,6.834348080485572,2024-09-19 00:54:16,uniswap|2024-09-19 00:54:16
internet-computer,Internet Computer,8.285913371739918,2024-09-19 00:54:16,internet-computer|2024-09-19 00:54:16
fetch,Artificial Superintelligence Alliance,1.4844344621553482,2024-09-19 00:54:16,fetch|2024-09-19 00:54:16
monero,Monero,171.09027170198996,2024-09-19 00:54:16,monero|2024-09-19 00:54:16
stellar,Stellar,0.0958156739597764,2024-09-19 00:54:16,stellar|2024-09-19 00:54:16
ethereum-classic,Ethereum Classic,18.336356558014714,2024-09-19 00:54:16,ethereum-classic|2024-09-19 00:54:16
stacks,Stacks,1.58149825203769,2024-09-19 00:54:16,stacks|2024-09-19 00:54:16
okb,OKB,38.920240619780515,2024-09-19 00:54:16,okb|2024-09-19 00:54:16
aave,Aave,144.3152828747575,2024-09-19 00:54:16,aave|2024-09-19 00:54:16
filecoin,Filecoin,3.670013924702863,2024-09-19 00:54:16,filecoin|2024-09-19 00:54:16
